1001,Serra Gaúcha,Brazil
1038,Alentejano,Portugal
1034,Vinho Verde,Portugal
1031,Porto,Portugal
1002,Vale dos Vinhedos,Brazil
1027,Serra Negra,Brazil
1004,Campanha Gaúcha,Brazil
1010,Vale do São Francisco,Brazil
1023,Minas Gerais,Brazil
1000,Rio Grande do Sul,Brazil
1763,California,United States
1039,Alentejo,Portugal
1035,Lisboa,Portugal
1032,Douro,Portugal
1073,Vinho de Portugal,Portugal
1052,Duriense,Portugal
1040,Minho,Portugal
1046,Bairrada,Portugal
1048,Beiras,Portugal
1984,Jerez-Xérès-Sherry,Spain
3213,Fino Sherry,Spain
3212,Amontillado Sherry,Spain
1057,Madeirense,Portugal
1081,Mosel,Germany
1102,Pfalz,Germany
1104,Rheingau,Germany
1100,Nahe,Germany
1105,Rheinhessen,Germany
1084,Ahr,Germany
1080,Baden,Germany
1098,Mayschoss,Germany
1086,Brauneberg,Germany
1111,Württemberg,Germany
1091,Franken,Germany
1396,Pauillac,France
1421,Rhone Valley,France
1138,Beaujolais-Villages,France
1216,Châteauneuf-du-Pape,France
1433,Saint-Estèphe,France
1437,Saint-Julien,France
1153,Bourgogne,France
1188,Champagne,France
1474,Vin de France,France
1276,Côtes-du-Rhône,France
1125,Alsace,France
1446,Saint-Émilion Grand Cru,France
1455,Sauternes,France
1311,Haut-Médoc,France
1151,Bordeaux Supérieur,France
1328,Languedoc-Roussillon,France
1400,Pessac-Léognan,France
1408,Pouilly-Fumé,France
1175,Chablis,France
1448,Sancerre,France
1389,Méditerranée,France
1265,Côtes de Gascogne,France
1262,Côtes de Bordeaux,France
1136,Beaujolais,France
1233,Corton-Charlemagne Grand Cru,France
1401,Petit Chablis,France
1169,Cahors,France
1149,Bordeaux,France
1407,Pouilly-Fuissé,France
1263,Côtes de Bourg,France
2066,San Juan,Argentina
1342,Margaux,France
1193,Champagne Grand Cru 'Bouzy',France
1306,Graves,France
1368,Moulis-en-Médoc,France
1292,Fronsac,France
1404,Pomerol,France
1298,Gevrey-Chambertin,France
1250,Crémant de Bourgogne,France
1349,Meursault,France
1468,Vacqueyras,France
1467,Upper Loire,France
1228,Corbières,France
1291,Francs-Côtes de Bordeaux,France
1347,Mercurey,France
1366,Morgon,France
1334,Listrac-Médoc,France
1184,Chambolle-Musigny,France
1154,Bourgogne Aligoté,France
1266,Côtes de Provence,France
1248,Crémant d'Alsace,France
1405,Pommard,France
1967,Castilla,Spain
1252,Crémant de Loire,France
1196,Champagne Grand Cru 'Le Mesnil-sur-Oger',France
1411,Provence,France
1985,Jumilla,Spain
1190,Champagne Grand Cru 'Ambonnay',France
1449,Santenay,France
1289,Fleurie,France
1392,Nuits-Saint-Georges,France
1302,Gigondas,France
2006,Priorat,Spain
2037,Vino de España,Spain
1322,Jurançon,France
1165,Cabardès,France
1178,Chablis 1er Cru 'Montmains',France
1133,Bandol,France
1351,Meursault 1er Cru 'La pièce sous le Bois',France
1510,Barbaresco,Italy
1531,Brunello di Montalcino,Italy
1708,Valdadige,Italy
1699,Toscana,Italy
1519,Barolo,Italy
1678,Salento,Italy
2070,Tupungato,Argentina
1703,Trento,Italy
1627,Marche,Italy
1659,Prosecco,Italy
1690,Südtirol-Alto Adige,Italy
1511,Barbera d'Alba,Italy
1714,Valpolicella Classico,Italy
1718,Valtellina,Italy
1618,Langhe,Italy
1542,Chianti,Italy
1715,Valpolicella Ripasso,Italy
1602,Gavi,Italy
1598,Friuli-Venezia Giulia,Italy
1655,Piemonte,Italy
1662,Puglia,Italy
1545,Chianti Colli Senesi,Italy
1568,Conegliano-Valdobbiadene Prosecco,Italy
1582,Emilia-Romagna,Italy
1505,Amarone della Valpolicella,Italy
1574,Costa Toscana,Italy
1639,Montepulciano d'Abruzzo,Italy
3005,Vin Santo del Chianti Classico,Italy
1676,Rubicone,Italy
1641,Moscato d'Asti,Italy
1736,Delle Venezie,Italy
1674,Rosso di Montalcino,Italy
1734,Vino d'Italia,Italy
