10001,1001
10002,1001
10000,1001
10012,1001
10011,1001
12039,1038
12474,1034
10674,1031
10010,1001
10025,1001
10020,1002
10426,1002
10022,1001
10559,1027
10013,1002
10013,1004
10014,1002
10051,1001
10014,1001
10412,1001
10013,1010
10569,1023
10029,1004
10152,1000
10153,1001
57156,1763
10329,1001
12039,1039
11644,1035
10892,1032
13189,1073
10997,1032
11353,1032
11074,1032
12069,1038
10665,1031
10734,1052
11568,1034
11477,1040
10726,1032
12090,1038
11321,1032
12097,1038
12222,1039
12724,1046
10699,1031
11535,1034
11477,1034
10703,1031
11486,1034
11764,1035
12473,1034
10693,1031
10736,1031
12674,1048
10728,1031
12277,1039
10737,1034
11521,1034
12437,1039
11424,1032
11676,1035
12633,1046
10703,1984
11681,1035
11004,1032
10724,1031
11756,1035
10697,1031
10983,1032
12510,1040
11093,1032
11477,1046
12346,1039
10813,1032
12415,1038
11575,1040
10726,1031
10813,1031
11366,1031
10684,1031
10703,3213
10703,3212
10819,1032
11590,1034
10901,1032
11462,1034
13006,1057
11424,1031
10671,1031
10710,1031
11036,1032
11006,1031
10800,1032
11544,1034
14311,1081
14904,1102
15054,1104
15070,1104
15066,1104
14000,1081
14409,1100
13771,1105
14917,1102
13759,1081
15247,1105
14116,1084
13213,1080
14417,1100
13633,1081
14469,1102
14868,1102
15444,1105
15158,1104
14997,1104
14313,1098
15657,1102
13537,1081
14160,1086
14401,1100
15127,1104
14465,1102
15496,1100
13856,1081
15384,1105
14060,1081
13506,1080
15227,1105
15742,1111
13521,1081
15380,1105
15060,1104
14123,1084
15727,1111
15768,1111
13896,1081
14207,1091
13214,1080
13866,1081
29244,1396
30896,1421
29220,1396
29231,1396
16604,1138
22431,1216
29248,1396
30985,1433
31225,1437
31192,1437
31213,1437
18600,1153
21702,1188
30896,1474
24618,1276
22392,1216
30965,1433
20584,1188
16268,1125
31874,1446
32311,1455
22143,1188
21599,1188
29246,1396
25367,1311
18424,1151
22910,1328
22563,1216
25375,1311
29751,1400
30167,1408
20538,1175
26912,1328
25320,1311
31938,1448
24312,1389
31568,1446
24972,1265
24789,1262
18600,1136
22805,1233
18588,1153
31031,1433
20538,1401
19987,1169
22801,1153
17848,1149
29282,1396
22801,1407
17657,1149
24012,1263
19049,1153
33661,2066
21922,1188
27980,1342
17137,1149
31586,1446
31810,1446
27963,1342
18543,1151
22184,1193
31560,1446
21604,1188
25094,1306
28015,1342
28392,1368
31989,1448
33853,1474
18424,1149
31836,1446
31678,1446
