100001,Espumante Moscatel,7.5,4,3,3,10001,1001
100002,Ancellotta,12.0,1,3,2,10001,1001
100003,Cabernet Sauvignon,12.0,1,4,3,10002,1001
100005,Maison de Ville Cabernet-Merlot,11.0,1,4,2,10000,1001
100007,Do Lugar Moscatel Espumantes,7.5,4,3,3,10012,1001
100008,Paradoxo Cabernet Sauvignon,13.5,1,4,3,10011,1001
100010,Defesa Tinto,14.0,1,4,3,12039,1038
100012,Vinho Verde Branco,9.0,2,1,3,12474,1034
100013,Ruby Port,19.5,6,5,3,10674,1031
100014,Tawny Port,19.5,6,5,3,10674,1031
100016,Acquasantiera Tinto Seco Fino,11.0,1,3,1,10010,1001
100017,Colheita Tardia Malvasia-Moscato,12.5,5,3,3,10000,1001
100018,Cave Cabernet Sauvignon,13.0,1,4,3,10025,1001
100019,Singular Nebbiolo,14.9,1,4,3,10020,1002
100021,Merlot Reserva,13.5,1,4,1,10426,1002
100022,Malbec Brut Rosé,11.5,4,3,3,10022,1001
100025,Espumante Método Charmat Brut,12.0,4,3,3,10001,1001
100046,Vista de Serra Syrah,14.0,1,4,3,10559,1027
100049,Cuvée Giuseppe Merlot-Cabernet Sauvignon,14.0,1,4,3,10013,1002
100052,Reserva Tannat,12.5,1,3,1,10000,1001
100055,Millesimé Cabernet Sauvignon,13.0,1,4,3,10000,1001
100056,Brut Prosecco,11.5,4,3,3,10011,1001
100060,Reserva Tannat,14.0,1,5,2,10013,1004
100061,Moscatel,8.0,4,3,3,10010,1001
100062,Origem Merlot,13.0,1,4,2,10014,1002
100063,Quinta do Seival Estate Castas Portuguesas,13.0,1,4,2,10013,1004
100064,Réserve Brut,12.0,4,3,3,10051,1001
100067,Sur Lie Nature,12.0,4,3,3,10014,1001
100073,Moscatel,7.5,4,3,3,10011,1001
100080,Agnus Cabernet Sauvignon,13.5,1,4,3,10020,1002
100086,Selecão Chardonnay-Viognier,12.0,2,3,2,10013,1004
100088,Aquarela Moscatel Espumante,7.5,4,2,2,10001,1001
100092,Nature,12.5,4,3,3,10412,1001
100097,Terranova Espumante Moscatel,7.5,4,3,3,10013,1010
100108,Colheita Tardia Malvasia Bianca,12.5,5,2,3,10000,1001
100114,Primeira Estrada Syrah,13.5,1,4,3,10569,1023
100120,Marcus James Cabernet Sauvignon,11.5,1,4,3,10000,1001
100125,Riche Demi-Sec,12.5,4,3,3,10051,1001
100129,Faces Pinot Noir Rosé,12.0,3,3,1,10020,1002
100135,Cave Amadeu Rosé Brut,12.0,4,3,3,10412,1001
100191,Reserva Chardonnay,13.0,2,3,2,10000,1001
100207,Paralelo 31 Proprietor Reserva,14.0,1,3,3,10029,1004
100305,Brut,12.0,4,3,3,10426,1002
100523,Espumante Brut Rosé,12.0,4,3,3,10011,1001
100556,Marie Gabi Rosado,12.0,3,2,2,10152,1000
100565,Varietal Riesling Itálico,12.5,2,3,3,10000,1001
100841,Licoroso Tinto,18.0,5,4,3,10000,1001
101008,Campo Largo Branco Seco de Mesa,10.0,2,3,3,10153,1001
101052,Brut Classic,12.0,4,3,3,57156,1763
